"","url","title","snippet","date"
"1","https://www.dailywire.com/news/kamala-hq-attacked-me-for-telling-the-truth-about-public-education","Kamala HQ Attacked Me For Telling The Truth About Public Education","Sep 25, 2024 ... the “Kamala HQ” account — the official account of the Kamala Harris campaign — posted a message in response to a segment from my show yesterday ...",2024-09-25
"2","https://www.dailywire.com/news/economic-guru-dave-ramsey-asked-both-trump-and-kamala-for-interview-heres-what-happened","Economic Guru Dave Ramsey Asked Both Trump And Kamala For ...","Sep 30, 2024 ... Apolitical money expert Dave Ramsey said he asked both former President Donald Trump and Vice President Kamala Harris for a sit-down interview — but so far, ...",2024-09-30
"3","https://www.dailywire.com/news/how-the-fbi-is-willing-to-risk-your-safety-to-get-kamala-elected","How The FBI Is Willing To Risk Your Safety To Get Kamala Elected","Sep 24, 2024 ... Shortly after the two ABC moderators entered the presidential debate on the side of Kamala Harris, there was a brief moment when Donald Trump pushed back.",2024-09-24
"4","https://www.dailywire.com/news/kamala-harris-and-the-not-so-secret-soros-machine","Kamala Harris And The Not-So-Secret Soros Machine","Sep 27, 2024 ... Kamala Harris is apparently going to call for more resources for Border Patrol agents to do their job. However, I have spoken with the Border Patrol.",2024-09-27
"5","https://www.dailywire.com/news/the-degenerates-of-hollywood-endorse-kamala-and-that-tells-you-everything","The Degenerates Of Hollywood Endorse Kamala, And That Tells ...","Sep 23, 2024 ... After last week's Oprah infomercial for Kamala Harris, it's clear that it's time for Harris to collect the endorsements that she's apparently entitled to.",2024-09-23
"6","https://www.dailywire.com/news/dem-donor-union-boss-with-alleged-mob-ties-fights-biden-over-dock-worker-strike","Dem Donor Union Boss With Alleged Mob Ties Fights Biden Over ...","Sep 27, 2024 ... ... Kamala Harris, who has struggled to convince voters that she can fight inflation and fix the economy. A strike would affect nearly half of all U.S. imports ...",2024-09-27
"7","https://www.dailywire.com/news/exclusive-babylon-bee-sues-california-over-unprecedented-crackdown-on-satire-parody","EXCLUSIVE: Babylon Bee Sues California Over Unprecedented ...","Sep 30, 2024 ... ... Kamala Harris should be “illegal.” “The legislature heard the call and passed two laws that forbid political expression under the label of 'materially ...",2024-09-30
"8","https://www.dailywire.com/episode/tbd-john-f-kennedy-jr","The Great Partisan Shift | Robert F. Kennedy Jr.","Sep 26, 2024 ... Kennedy Jr. discuss the development of Donald Trump's political team, how the team plans to tackle foreign affairs and the ongoing health crisis, Kamala Harris' ...",2024-09-26
"9","https://www.dailywire.com/news/spin-cycle-all-eyes-on-north-carolina","Spin Cycle: All Eyes On North Carolina","Sep 23, 2024 ... “'Rushes into other room' I was *walking* to the doctor (because one of my kids gave me the plague) My comment on Mark Robinson is that Kamala Harris cast ...",2024-09-23
"10","https://www.dailywire.com/news/the-art-of-the-tweet-collected-poems-of-donald-j-trump-back-in-stock","The Art Of The Tweet: 'Collected Poems Of Donald J. Trump' Back In ...","Sep 30, 2024 ... I will and enjoy every moment of it. Reply. 215 days ago. 2. dannpelletier. It would be a cookbook called “Word salads by Kamala Harris”. Reply. 215 days ago.",2024-09-30
