"","url","title","snippet","date"
"1","https://www.breitbart.com/politics/2024/09/24/trump-campaign-kamala-harris-blood-hands-migrant-crime/","Trump Campaign: Kamala Harris Has 'Blood on Her Hands' from ...","Sep 24, 2024 ... ... Donald Trump's promise to deport illegal aliens. In an interview with Sen. JD Vance (R-OH) on NBC News, host Kristen Welker ignored the fact that under the ...",2024-09-24
"2","https://www.breitbart.com/entertainment/2024/09/29/snl-jokes-about-deadly-trump-assassination-attempt-disgusting/","'SNL' Jokes About Deadly Trump Assassination Attempt: 'Disgusting'","Sep 29, 2024 ... NBC's “Saturday Night Live” saw much humor to be had in the two recent assassination attempts against former President Donald Trump as it launched its 50th ...",2024-09-29
"3","https://www.breitbart.com/2024-election/2024/09/23/trump-harris-will-prevent-fracking-pennsylvania-destroying-energy-jobs/","Donald Trump: Kamala Harris Will Prevent Fracking in Pennsylvania ...","Sep 23, 2024 ... Donald Trump said Monday at an event in Smithton, Pennsylvania, that energy jobs in the state will plummet if he is not elected president.",2024-09-23
"4","https://www.breitbart.com/politics/2024/09/28/poll-trump-leading-kamala-harris-in-five-key-swing-states/","Poll: Trump Leading Kamala Harris in Five Key Swing States","Sep 28, 2024 ... Former President Donald Trump is leading Vice President Kamala Harris in five key swing states, according to a recent poll.",2024-09-28
"5","https://www.breitbart.com/politics/2024/09/26/hillary-clinton-doubles-down-calling-trump-supporters-deplorables-says-its-too-kind-word/","Clinton Doubles Down on 'Deplorables' Comment, Says 'Too Kind a ...","Sep 26, 2024 ... Hillary Clinton doubled down this week on calling half of former President Donald Trump's supporters a ""basket of deplorables.""",2024-09-26
"6","https://www.breitbart.com/politics/2024/09/25/cnn-admits-using-digitally-altered-photos-donald-trump-laura-loomer/","CNN Admits to Using 'Digitally Altered' Photos of Donald Trump ...","Sep 25, 2024 ... CNN issued an on-air retraction and admitted to using ""digitally altered"" photos of former President Donald Trump and Laura Loomer.",2024-09-25
"7","https://www.breitbart.com/crime/2024/09/24/son-of-donald-trump-assassination-attempt-suspect-ryan-wesley-routh-arrested-for-child-pornography/","Son of Donald Trump Assassination Attempt Suspect Ryan Wesley ...","Sep 24, 2024 ... The son of Ryan Wesley Routh, the latter of whom has been arrested in connection to the second assassination attempt against former President Donald Trump, has ...",2024-09-24
"8","https://www.breitbart.com/economy/2024/09/25/breitbart-business-digest-how-trumps-tariffs-would-grow-the-economy/","Breitbart Business Digest: How Trump's Tariffs Would Grow the ...","Sep 25, 2024 ... One of the least discussed but most obvious realities of modern trade is that Donald Trump is, in his rough-hewn way, mostly right about tariffs, while the ...",2024-09-25
"9","https://www.breitbart.com/2024-election/2024/09/29/donald-trump-joe-biden-became-mentally-impaired-kamala-born-that-way/","Trump: 'Biden Became Mentally Impaired, Kamala Was Born that Way'","Sep 29, 2024 ... Vice President Kamala Harris was born “mentally impaired,” former President Donald Trump said Saturday in Wisconsin, mocking his political opponent.",2024-09-29
"10","https://www.breitbart.com/entertainment/2024/09/29/hollywood-star-zachary-levi-endorses-trump-we-are-going-to-take-back-this-country/","Hollywood Star Zachary Levi Endorses Trump: 'We Are Going to ...","Sep 29, 2024 ... Actor Zachary Levi -- who starred in the ""Shazam!"" movies -- has endorsed former President Donald Trump, saying he believes Trump is the candidate who can ...",2024-09-29
"11","https://www.breitbart.com/weather/2024/09/30/north-carolina-town-washedaway-hurricane-helene/","North Carolina Town 'Washed Away' by Hurricane Helene","Sep 30, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Alleged Venezuelan Hitman Arrested by ICE in Texas · Dan Bongino: FBI Releasing Files on COVID ...",2024-09-30
"12","https://www.breitbart.com/entertainment/2024/09/30/netflix-cancelations-spiked-after-ceo-reed-hastings-pledged-millions-to-kamala-harris/","Netflix Cancelations Spiked After CEO Reed Hastings Pledged ...","Sep 30, 2024 ... Netflix's rate of cancelations nearly tripled in the United States after supporters of former President Donald Trump called for action against the streaming ...",2024-09-30
"13","https://www.breitbart.com/politics/2024/09/24/mcentee-vs-leftist-tik-tok-former-top-trump-official-is-breaking-democrat-dominance-on-platform/","Former Top Trump Official Is Breaking Democrat Dominance on TikTok","Sep 24, 2024 ... Follow him on X/Twitter at @BradleyAJaye. 2024 Election · Politics · America First · ByteDance · Chinese Communist Party (CCP) · Donald Trump · John McEntee ...",2024-09-24
"14","https://www.breitbart.com/tag/made-in-america/","Made in America Articles - Breitbart","Sep 25, 2024 ... Donald Trump promises 100% tariff on 'every single car coming across Mexican border,' vows to bring foreign manufacturing to US.",2024-09-25
"15","https://www.breitbart.com/europe/2024/09/23/ukraines-zelensky-to-present-victory-plan-to-biden-harris-and-trump/","Ukraine's Zelensky to Present 'Victory Plan' to Biden, Harris, and ...","Sep 23, 2024 ... Zelensky will present his proposals for ""victory"" to President Joe Biden, as well as presidential hopefuls Kamala Harris and Donald Trump.",2024-09-23
"16","https://www.breitbart.com/2nd-amendment/2024/09/27/montana-based-shield-arms-taking-glock-43x-next-level/","Montana-Based Shield Arms Taking Glock 43X to the Next Level","Sep 27, 2024 ... Watch Live: Donald Trump and RFK Jr. Hold Press Conference ...",2024-09-27
"17","https://www.breitbart.com/entertainment/2024/09/21/forbes-how-pro-trump-song-fighter-hit-1-on-itunes/","Forbes: How Pro-Trump Song 'Fighter' Hit #1 on iTunes","Sep 21, 2024 ... Fighter” — the new song from Breitbart's Jon Kahn that pays tribute to former President Donald Trump's indomitable spirit — soared to the No.",2024-09-21
"18","https://www.breitbart.com/crime/2024/09/25/parents-accused-trying-sell-baby-money-beer-arkansas-campground/","Parents Accused of Trying to Sell Baby for Money and Beer in ...","Sep 25, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Alleged Venezuelan Hitman Arrested by ICE in Texas · Dan Bongino: FBI Releasing Files on COVID ...",2024-09-25
"19","https://www.breitbart.com/politics/2024/09/27/exclusive-deloitte-consultant-behind-ethically-questionable-leak-of-jd-vance-communications-to-washington-post/","Exclusive — Deloitte Consultant Behind Ethically Questionable ...","Sep 27, 2024 ... ... Donald Trump. While it's not surprising or new that Vance was previously a Trump critic who argues Trump's actions as president won him over—many of the ...",2024-09-27
"20","https://www.breitbart.com/politics/2024/09/28/exclusive-sen-ted-budd-harris-democrats-want-problems-to-get-worse-so-government-can-increase-power/","Sen. Ted Budd: Harris, Democrats 'Want Problems to Get Worse'","Sep 28, 2024 ... Donald Trump is campaigning hard in North Carolina and will win the state again, despite Vice President Kamala Harris's gaslighting and the Biden-Harris ...",2024-09-28
"21","https://www.breitbart.com/middle-east/2024/09/24/iran-accuses-israel-state-terrorism-blasts-trump-pulling-nuclear-deal-u-n/","Iran Accuses Israel of 'State Terrorism,' Blasts Trump for Pulling Out ...","Sep 24, 2024 ... Pezeshkian criticized former U.S. President Donald Trump for withdrawing from the 2015 nuclear deal, formally known as the Joint Comprehensive Plan of Action ( ...",2024-09-24
"22","https://www.breitbart.com/entertainment/2024/09/27/foo-fighters-cancel-soundside-music-festival-appearance-after-dave-grohl-infidelity-scandal/","Foo Fighters Cancel Soundside Music Festival Appearance After ...","Sep 27, 2024 ... Just weeks ago Grohl and his band made headlines after trashing Donald Trump's presidential campaign for using Foo Fighters music. ... Exclusive: Sen.",2024-09-27
"23","https://www.breitbart.com/tag/prescription-drugs/","prescription drugs Articles - Breitbart","Sep 27, 2024 ... Elizabeth Weibel. 11 May 2025, 5:13 PM PDT. Donald Trump/prescription bottles ...",2024-09-27
"24","https://www.breitbart.com/tech/2024/09/23/google-executives-ploy-to-hide-messages-from-doj-could-be-backfiring/","Google Executives' Ploy to Hide Messages from DOJ Could Be ...","Sep 23, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Alleged Venezuelan Hitman Arrested by ICE in Texas · Dan Bongino: FBI Releasing Files on COVID ...",2024-09-23
"25","https://www.breitbart.com/asia/2024/09/26/taiwans-prosecutors-probe-mystery-of-exploding-hezbollah-pagers/","Taiwan's Prosecutors Probe Mystery of Exploding Hezbollah Pagers","Sep 26, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Get All Breitbart News Here. Taiwan's Prosecutors Probe Mystery of Exploding Hezbollah Pagers. 15 ...",2024-09-26
"26","https://www.breitbart.com/economy/2024/09/26/breitbart-business-digest-kamala-harris-attempts-to-lie-her-way-into-the-presidency/","Breitbart Business Digest: Kamala Harris Attempts to Lie Her Way ...","Sep 26, 2024 ... President Joe Biden and Vice President Kamala Harris took control of the White House by campaigning on lies about the state of the economy under Donald Trump.",2024-09-26
"27","https://www.breitbart.com/europe/2024/09/22/hospitals-in-london-pushing-non-english-speaker-patients-to-front-of-line-report/","Hospitals Pushing Non-English Speaker Patients to Front of Line ...","Sep 22, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Get All Breitbart News Here. Hospitals in Multicultural London Pushing Non-English Speaker ...",2024-09-22
"28","https://www.breitbart.com/entertainment/2024/09/26/jimmy-kimmel-hands-show-over-to-his-wife-to-rage-at-trump/","Jimmy Kimmel Hands Show over to His Wife to Rage at Trump","Sep 26, 2024 ... ... over to his wife this week so she could launch into a rage-filled rant aimed at former President Donald Trump.",2024-09-26
"29","https://www.breitbart.com/entertainment/2024/09/24/sean-diddy-combs-predicts-his-own-demise-over-his-parties-in-resurfaced-interview-theyre-probably-gonna-be-arresting-me/","Sean 'Diddy' Combs Predicts His Own Demise over His Parties in ...","Sep 24, 2024 ... ... Donald Trump' · Get All Breitbart News Here. Sean 'Diddy' Combs Predicts His Own Demise over His Parties in Resurfaced Interview: 'They're Probably Gonna Be ...",2024-09-24
"30","https://www.breitbart.com/2024-election/2024/09/26/house-oversight-committee-investigates-zelenskys-taxpayer-funded-trip-pennsylvania/","House Oversight Committee Probes into Zelensky's 'Taxpayer ...","Sep 26, 2024 ... Politics · Pre-Viral · Donald Trump · election interference · House Oversight Committee · James Comer · Joe Biden · Kamala Harris · Pennsylvania · Ukraine ...",2024-09-26
"31","https://www.breitbart.com/tech/2024/09/26/mark-zuckerberg-claims-there-is-no-direct-link-between-social-media-and-teen-mental-health-crisis/","Mark Zuckerberg Claims There Is No Direct Link Between Social ...","Sep 26, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Alleged Venezuelan Hitman Arrested by ICE in Texas · Dan Bongino: FBI Releasing Files on COVID ...",2024-09-26
"32","https://www.breitbart.com/entertainment/2024/09/24/book-claims-to-reveal-diddys-deceased-ex-wife-kim-porters-hidden-truths-about-his-sex-abuse-as-it-tops-amazons-best-seller-list/","Book Claims to Reveal Diddy's Deceased Ex-Wife Kim Porter's ...","Sep 24, 2024 ... Watch Live: Donald Trump and RFK Jr. Hold Press Conference ...",2024-09-24
"33","https://www.breitbart.com/entertainment/2024/09/29/sopranos-star-drea-de-matteo-calls-pro-kamala-harris-celebrities-meaningless-hollywood-is-dead-the-music-industry-is-dead/","'Sopranos' Star Drea de Matteo Calls Pro-Kamala Harris Celebrities ...","Sep 29, 2024 ... Kennedy Jr.'s full-throated endorsement of former President Donald Trump. “At the very moment, all I care about is fighting for this country and just trying to ...",2024-09-29
"34","https://www.breitbart.com/politics/2024/09/25/are-screens-or-parents-to-blame-for-the-teen-mental-health-crisis/","Are Screens or Parents to Blame for the Teen Mental Health Crisis?","Sep 25, 2024 ... Donald Trump Congratulates Pope Leo XIV, First American to Lead Catholic ...",2024-09-25
"35","https://www.breitbart.com/entertainment/2024/09/25/macklemore-faces-cancellations-after-declaring-fk-america-dropped-as-vegas-festival-headliner/","Macklemore Faces Cancellations After Declaring 'F**k America ...","Sep 25, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Get All Breitbart News Here. Macklemore Faces Cancellations After Declaring 'F**k America ...",2024-09-25
"36","https://www.breitbart.com/entertainment/2024/09/23/janet-jackson-apologizes-for-saying-kamala-harris-not-black-father-was-white/","Janet Jackson Says Kamala Harris Is 'Not Black': 'That's What I ...","Sep 23, 2024 ... Donald Trump's DHS Terminates Biden's 'Temporary' Amnesty for Afghan Migran Donald Trump's DHS Terminates Biden's 'Temporary' Amnesty for Afghan Migrants ...",2024-09-23
"37","https://www.breitbart.com/europe/2024/09/25/ukraine-tells-u-n-russia-must-be-forced-into-peace/","Zelensky Tells U.N. Russia Must be 'Forced Into Peace'","Sep 25, 2024 ... As well as the U.S. President, Zelensky also visited a U.S. munitions factory making shells for the war and is due to speak with Kamala Harris and Donald Trump, ...",2024-09-25
"38","https://www.breitbart.com/politics/2024/09/28/tim-walz-booed-outside-of-michigan-minnnesota-football-game/","Tim Walz Booed Outside of Michigan-Minnnesota Football Game","Sep 28, 2024 ... Walz's attendance at the game comes the same day that former President Donald Trump is set to attend the college football game between the University of Georgia ...",2024-09-28
"39","https://www.breitbart.com/2024-election/2024/09/27/angel-moms-not-heard-kamala-harris-dont-matter/","Angel Moms Have Not Heard from Harris: 'It Seems Like We Don't ...","Sep 27, 2024 ... The three mothers, Patty Morin, Alexis Nungaray, and Anne Fundner, shared their heartbreaking stories during a Donald Trump campaign press call on Friday as ...",2024-09-27
"40","https://www.breitbart.com/entertainment/2024/09/23/jane-fonda-campaigns-for-kamala-harris-on-goal-of-slashing-fossil-fuels-by-half/","Jane Fonda Campaigns for Kamala Harris on Goal of Slashing ...","Sep 23, 2024 ... Fonda also believes a victory for former President Donald Trump would send the country in the wrong direction by increasing our reliance on fossil fuels.",2024-09-23
"41","https://www.breitbart.com/clips/2024/09/21/kaine-its-a-lie-to-blame-trump-shootings-on-dem-rhetoric-look-at-the-identities-of-the-shooters/","Kaine: It's a 'Lie' to Blame Trump Shootings on Dem Rhetoric, 'Look ...","Sep 21, 2024 ... Sen. Tim Kaine (D-VA) responded to charges from Republicans that rhetoric about 2024 Republican presidential candidate former President Donald Trump might have ...",2024-09-21
"42","https://www.breitbart.com/2nd-amendment/2024/09/24/parkland-parents-push-gun-control-school-shooting-video-game/","Parkland Parents Push Gun Control Via School Shooting Video Game","Sep 24, 2024 ... Watch Live: Donald Trump and RFK Jr. Hold Press Conference. FROM THE HOMEPAGE.",2024-09-24
"43","https://www.breitbart.com/politics/2024/09/22/graham-if-mark-robinson-charges-true-hes-unfit-to-serve/","Graham: If Mark Robinson Charges True He's 'Unfit to Serve'","Sep 22, 2024 ... He said he didn't do it. Former President Donald Trump in North Carolina didn't mention him and has not dropped his endorsement. Do you think that former ...",2024-09-22
"44","https://www.breitbart.com/sports/2024/09/30/mlb-legend-pete-rose-dies-83/","MLB Legend Pete Rose Dies at 83","Sep 30, 2024 ... Watch Live: Donald Trump and RFK Jr. Hold Press Conference · Pope Leo XIV Addresses Journalists ...",2024-09-30
"45","https://www.breitbart.com/politics/2024/09/24/harris-co-chair-people-misremember-how-strong-our-recovery-has-been/","Harris Co-Chair: People 'Misremember' How 'Strong' Our Recovery ...","Sep 24, 2024 ... Joe Biden made a promise he wouldn't raise taxes on anyone making less than $400,000, and he's kept that, Donald Trump is promising he's going to impose a 20% ...",2024-09-24
"46","https://www.breitbart.com/clips/2024/09/24/cnns-phillip-harris-is-trying-to-float-above-the-immigration-arguments-and-some-details-on-immigration/","CNN's Phillip: Harris Is Trying 'To Float Above the Immigration ...","Sep 24, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Alleged Venezuelan Hitman Arrested by ICE in Texas · Dan Bongino: FBI Releasing Files on COVID ...",2024-09-24
"47","https://www.breitbart.com/tag/chelsea-clinton/","Chelsea Clinton Articles - Breitbart","Sep 24, 2024 ... Donald Trump Congratulates Pope Leo XIV, First American to Lead Catholic Church ...",2024-09-24
"48","https://www.breitbart.com/asia/2024/09/27/lone-wolf-ex-defense-minister-ishiba-shigeru-tapped-as-japans-next-prime-minister/","'Lone Wolf' Ex-Defense Minister Ishiba Shigeru Tapped as Japan's ...","Sep 27, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Get All Breitbart News Here. 'Lone Wolf' Ex-Defense Minister Ishiba Shigeru Tapped as Japan's ...",2024-09-27
