"","url","title","snippet","date"
"1","https://www.breitbart.com/politics/2024/09/10/21-kamala-harris-false-claims-hoaxes-that-debate-moderators-did-not-fact-check/","21 False Claims & Hoaxes by Kamala Harris that ABC's Debate ...","Sep 10, 2024 ... ... hoaxes that ABC debate moderators did not fact check during Tuesday's debate against former President Donald Trump.",2024-09-10
"2","https://www.breitbart.com/border/2024/09/04/mexican-military-arrests-dangerous-border-city-cartel-boss/","Mexican Military Arrests Dangerous Border City Cartel Boss","Sep 4, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Get All Breitbart News Here. Mexican Military Arrests Dangerous Border City Cartel Boss. 8 Los ...",2024-09-04
"3","https://www.breitbart.com/tech/2024/09/07/lawfare-brought-me-off-the-sidelines-silicon-valley-titan-naval-ravikant-endorses-donald-trump/","Lawfare 'Brought Me Off the Sidelines:' Silicon Valley Titan Naval ...","Sep 7, 2024 ... Legendary Silicon Valley investor Naval Ravikant told Megyn Kelly that the lawfare against former President Donald Trump caused him to get ""off the ...",2024-09-07
"4","https://www.breitbart.com/politics/2024/09/01/jfk-rfk-trump/","RFK Jr. Campaign: Choose Trump and 'Finish the Story' JFK, RFK ...","Sep 1, 2024 ... Robert F. Kennedy Jr., released an ad on Saturday urging voters to vote for Donald Trump to help RFK Jr. “finish the story” his uncle and father had started.",2024-09-01
"5","https://www.breitbart.com/entertainment/2024/09/06/cnns-chris-wallace-launches-anti-trump-tirade-in-interview-with-supporter-and-reagan-star-dennis-quaid/","CNN's Chris Wallace Launches Anti-Trump Tirade in Interview with ...","Sep 6, 2024 ... ""Reagan"" star Dennis Quaid faced a series of hostile questions from CNN's Chris Wallace over the actor's public support of former President Donald Trump, ...",2024-09-06
"6","https://www.breitbart.com/the-media/2024/09/10/fact-check-abcs-linsey-davis-tries-to-correct-trump-on-abortion/","Fact Check: ABC's Linsey Davis Tries to Correct Trump on Abortion","Sep 10, 2024 ... He is also the author of The Trumpian Virtues: The Lessons and Legacy of Donald Trump's Presidency, now available on Audible. He is a winner of the 2018 ...",2024-09-10
"7","https://www.breitbart.com/podcast/2024/09/10/breitbart-news-daily-podcast-ep-613-breitbart-politics-editor-emma-jo-morris-on-tonights-debate/","Breitbart News Daily Podcast Ep. 613: Breitbart Politics Editor Emma ...","Sep 10, 2024 ... Breitbart Politics Editor Emma-Jo Morris joins host Mike Slater to preview tonight's big debate between former President Donald Trump and Vice President ...",2024-09-10
"8","https://www.breitbart.com/entertainment/2024/09/07/cause-of-death-revealed-for-lucy-bleu-knight-slashs-stepdaughter/","Cause of Death Revealed for Lucy-Bleu Knight, Slash's Stepdaughter","Sep 7, 2024 ... Cotton: 'The Ayatollahs Are Scared to Death of Donald Trump' · Alleged Venezuelan Hitman Arrested by ICE in Texas · Dan Bongino: FBI Releasing Files on COVID ...",2024-09-07
"9","https://www.breitbart.com/entertainment/2024/09/10/bette-midler-hopes-trump-will-poop-his-pants-during-debate-with-kamala-harris/","Bette Midler Hopes Trump Will 'Poop' His Pants During Debate with ...","Sep 10, 2024 ... Bette Midler expressed her bizarre scatalogical fantasy to see former President Donald Trump defecate on stage during the live ABC broadcast.",2024-09-10
"10","https://www.breitbart.com/politics/2024/09/07/watch-top-doj-spokesman-calls-trump-cases-perversion-justice-hidden-camera/","WATCH: Top DOJ Spokesman Calls Trump Cases 'Perversion of ...","Sep 7, 2024 ... A DOJ spokesman was caught on a hidden camera blasting Alvin Bragg and other prosecutors for executing a “perversion of justice” against Donald Trump.",2024-09-07
"11","https://www.breitbart.com/the-media/2024/09/10/fact-check-abc-moderators-fail-to-correct-kamala-harris-alluding-to-suckers-and-losers-hoax/","Fact Check: ABC Moderators Fail to Correct Kamala Harris Alluding ...","Sep 10, 2024 ... CLAIM: Kamala Harris claimed that Donald Trump had disparaged the military, including the fallen. VERDICT: FALSE. This is a familiar hoax started by the ...",2024-09-10
