"","url","title","snippet","date"
"1","https://www.breitbart.com/entertainment/2024/08/31/real-embarrassing-sopranos-actor-michael-imperioli-ripped-for-gushing-over-photo-of-young-kamala-harris/","'Real Embarrassing': 'Sopranos' Actor Michael Imperioli Ripped for ...","Aug 31, 2024 ... Sopranos star Michael Imperioli apparently received backlash online after sharing and gushing over a photo of a young Kamala Harris.",2024-08-31
"2","https://www.breitbart.com/politics/2024/08/27/left-wing-salon-attacks-maga-over-refusal-to-admit-ella-emhoff-is-cute-unapologetic-misogyny/","Salon Mag Rips MAGA 'Misogyny' for Refusal to Admit Ella Emhoff Is ...","Aug 27, 2024 ... MAGA attacks on Kamala Harris's stepdaughter stem from “unapologetic misogyny” and “toxic masculinity”according to a left-wing Salon piece.",2024-08-27
"3","https://www.breitbart.com/entertainment/2024/08/30/netflixs-kaos-star-rakie-ayola-id-vote-for-jill-stein-over-kamala-harris/","Netflix's 'Kaos' Star Rakie Ayola: I'd Vote for Jill Stein over Kamala ...","Aug 30, 2024 ... Netflix's ""Kaos"" star Rakie Ayola said that while she hopes Vice President Kamala Harris wins the 2024 presidential election against former President Donald ...",2024-08-30
"4","https://www.breitbart.com/politics/2024/08/22/source-republican-rep-lori-chavez-deremers-policy-staffer-attends-dnc-cheers-obama/","Republican Rep. Lori Chavez-DeRemer's Policy Staffer Attends ...","Aug 22, 2024 ... ... National Convention where thousands cheered Vice President Kamala Harris in her effort to defeat Donald Trump.",2024-08-22
"5","https://www.breitbart.com/economy/2024/08/27/rent-up-22-in-kamala-harriss-america/","Rent Spikes up 22% in Kamala Harris's America","Aug 27, 2024 ... Vice President Kamala Harris has been leading the country alongside President Joe Biden for three and a half years, but while their party is attempting to ...",2024-08-27
"6","https://www.breitbart.com/the-media/2024/08/24/wapos-rampell-doug-emhoff-is-sex-symbol-womens-fantasy-man-despite-cheating-scandal/","WaPo's Rampell: Doug Emhoff Is a 'Sex Symbol' and 'Fantasy Man ...","Aug 24, 2024 ... WaPo's Rampell: Doug Emhoff Is a 'Sex Symbol' and Women's 'Fantasy Man' Despite Cheating Scandal. 1,306 Vice President Kamala Harris and Second Gentleman ...",2024-08-24
"7","https://www.breitbart.com/politics/2024/08/23/trump-steals-kamala-joy-obama-hope-harris-must-be-defeated/","Trump Steals Kamala's 'Joy,' Obama's 'Hope': Harris Must Be Defeated","Aug 23, 2024 ... Donald Trump is riding high after Democrats' failure to utilize the DNC to springboard Vice President Kamala Harris's struggling campaign.",2024-08-23
"8","https://www.breitbart.com/entertainment/2024/08/24/green-day-rocker-billie-joe-armstrong-decries-maga-agenda-before-declaring-performance-not-political/","Green Day Rocker Billie Joe Armstrong Decries 'MAGA Agenda ...","Aug 24, 2024 ... Kennedy Jr., who suspended his campaign on Friday and endorsed Trump, as well as slammed Democrats for “installing” war candidate Kamala Harris. As ...",2024-08-24
"9","https://www.breitbart.com/tag/catherine-rampell/","Catherine Rampell Articles - Breitbart","Aug 21, 2024 ... Catherine Rampell ; 25 Oct 2024, 2:51 AM PDT. Democratic presidential nominee, Vice President Kamala Harris prepares to speak at ""We The ; 5 Sep 2024, 2:12 AM PDT.",2024-08-21
"10","https://www.breitbart.com/tag/interview/","Interview Articles - Breitbart","Aug 30, 2024 ... Nick Gilbertson. 12 Aug 2024, 9:34 AM PDT. Democratic presidential nominee Vice President Kamala Harris speaks ...",2024-08-30
"11","https://www.breitbart.com/politics/2024/08/27/actor-nick-offerman-declares-hes-proud-to-be-a-kamala-man-calls-trump-a-fking-dk/","Actor Nick Offerman Declares He's 'Proud to Be a Kamala Man ...","Aug 27, 2024 ... In a new YouTube video, Nick Offerman gushes over Kamala Harris in a parody song of Lee Greenwood's “God Bless the U.S.A.,” which is sung from the point of view ...",2024-08-27
"12","https://www.breitbart.com/politics/2024/08/22/trump-why-didnt-marxist-kamala-do-anything-for-what-she-was-complaining-about/","Trump: Why Didn't 'Marxist' Kamala Do Anything for What She Was ...","Aug 22, 2024 ... Thursday, following Vice President Kamala Harris' address to the Democratic National Convention in Chicago, her opponent former President Donald Trump ...",2024-08-22
"13","https://www.breitbart.com/2024-election/2024/08/27/afghanistan-gold-star-mother-to-harris-you-hold-the-same-accountability-as-president-biden/","Afghanistan Gold Star Mother to Harris: 'You Hold the Same ...","Aug 27, 2024 ... ... Kamala Harris, “You were with the whole administration in all of this, you hold the same accountability as President Biden does, you were right beside him ...",2024-08-27
"14","https://www.breitbart.com/politics/2024/08/30/illegal-ms-13-gang-member-freed-into-u-s-by-biden-harris-dhs-gets-70-years-in-prison-for-murdering-kayla-hamilton/","Illegal MS-13 Gang Member Gets 70 Years for Raping, Killing Kayla ...","Aug 30, 2024 ... An illegal alien MS-13 gang member, who was released into the United States from the southern border by President Joe Biden and Vice President Kamala Harris's ...",2024-08-30
"15","https://www.breitbart.com/tag/pro-palestinian-protesters/","pro-Palestinian protesters Articles - Breitbart","Aug 22, 2024 ... Democratic presidential nominee Vice President Kamala Harris, right, and running mate Minn. Left Pans Kamala Harris for Angrily Scolding Anti-Israel Protesters: ...",2024-08-22
"16","https://www.breitbart.com/clips/2024/08/29/begala-harris-supported-fracking-ban-in-last-presidential-run-because-she-represented-bay-area-didnt-know-about-it/","Begala: Harris Supported Fracking Ban in Last Presidential Run ...","Aug 29, 2024 ... ... Kamala Harris changed her view on banning fracking from when she ran for president the last time because “you represent the Bay Area, there's not a lot of ...",2024-08-29
"17","https://www.breitbart.com/entertainment/2024/08/27/robert-f-kennedy-jr-wife-cheryl-hines-urged-him-to-meet-with-trump/","Robert F. Kennedy Jr.: Wife Cheryl Hines Urged Him to Meet with ...","Aug 27, 2024 ... ... Kamala Harris as its presidential nominee without any votes or media interviews. Joel B. Pollak is Senior Editor-at-Large at Breitbart News and the host of ...",2024-08-27
"18","https://www.breitbart.com/politics/2024/08/28/san-diego-supervisors-support-reparations-for-slavery/","San Diego Supervisors Support Reparations for Slavery","Aug 28, 2024 ... Vice President Kamala Harris, who is from California, has long backed reparations for slavery. When she was in the U.S. Senate, she backed legislation to ...",2024-08-28
"19","https://www.breitbart.com/podcast/2024/08/28/breitbart-news-daily-podcast-ep-605-breitbarts-emma-jo-morris-on-zuckerberg-admitting-facebook-censored-her-hunter-biden-reporting/","Breitbart News Daily Podcast Ep. 605: Breitbart's Emma-Jo Morris ...","Aug 28, 2024 ... Breitbart News Daily Podcast Ep. · The Flip-Flopping Phoniness of Kamala Harris; Guest: Breitbart Politics Editor Emma-Jo Morris The Flip-Flopping Phoniness of ...",2024-08-28
"20","https://www.breitbart.com/immigration/2024/08/26/state-diverts-boston-school-buses-to-migrants-denying-service-to-local-area-kids/","State Diverts Boston School Buses to Migrants Denying Service to ...","Aug 26, 2024 ... ... Kamala Harris's migrants. School officials told parents of about 150 kids in the Stoughton Public School system that their young ones would be without ...",2024-08-26
"21","https://www.breitbart.com/politics/2024/08/21/nolte-obama-makes-penis-size-joke-while-trashing-trump-as-childish/","Nolte: Obama Makes Penis Size Joke While Trashing Trump as ...","Aug 21, 2024 ... Hey, when you're trying to get Kamala Harris elected, someone who cannot run on policy or her record, I guess the crotch is all you have left. One can only ...",2024-08-21
